metric,U,V,W
MAE,0.00094112641587815,0.0016534067373937759,0.00473833977202254
RMSE,0.0013140712324042137,0.002139881656122753,0.006173422386656715
MaxAbs,0.002643366728758749,0.0038254820499998843,0.011161081116011329
