metric,U,V,W
MAE,0.001379436823642764,0.0012937953315043183,0.004680026119165187
RMSE,0.0018815771084760798,0.0017630569354773853,0.006177939504644819
MaxAbs,0.0036307506002634018,0.0034123199946839433,0.011184538691583645
