component,RelativeL2_error,RelativeL2_percent,Accuracy_percent
U,0.02565404976546575,2.565404976546575,97.43459502345343
V,0.0019569697528048365,0.19569697528048366,99.80430302471952
W,0.008082228866419466,0.8082228866419466,99.19177711335806
