# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.159433573484420776e-01 2.327594995498657227e+00 1.097144931554794312e-01 6.835487624812230933e-07 1.798549294471740723e-02 2.057929515838623047e+00 5.608392953872680664e-01 4.252346386124372657e-08 2.029016059168498032e-06 2.802559018189043627e-10 7.929434104880783707e-07 1.204201034852303565e-04 7.394272834062576294e-04 1.636566370725631714e-01 1.121040731668472290e-01 2.260109186172485352e+00 1.022968515753746033e-01 6.210643164195062127e-07 1.798549294471740723e-02 2.057929515838623047e+00 5.608392953872680664e-01 4.252346386124372657e-08 2.029016059168498032e-06 2.802559018189043627e-10 7.929434104880783707e-07 1.204201034852303565e-04 7.394272834062576294e-04 1.636566370725631714e-01
5.000000000000000000e+02 7.107573561370372772e-03 1.721631619147956371e-03 3.845772240310907364e-03 1.473955810070037842e-03 3.443898633122444153e-03 5.390445701777935028e-03 1.295949071645736694e-01 5.711674475605832413e-06 3.665133817776222713e-06 3.357640707690734416e-07 1.978210040221028976e-09 1.111678784582181834e-07 3.663565075839869678e-05 1.808102933864574879e-05 8.121748454868793488e-03 1.627136138267815113e-03 3.464370500296354294e-03 1.323846052400767803e-03 3.443898633122444153e-03 5.390445701777935028e-03 1.295949071645736694e-01 5.711674475605832413e-06 3.665133817776222713e-06 3.357640707690734416e-07 1.978210040221028976e-09 1.111678784582181834e-07 3.663565075839869678e-05 1.808102933864574879e-05
1.000000000000000000e+03 1.846916275098919868e-03 2.153661800548434258e-03 5.071719177067279816e-03 2.575338119640946388e-03 2.250192919746041298e-03 2.217666478827595711e-03 3.515891730785369873e-02 5.690873877028934658e-06 5.730416887672618032e-06 2.024752348006586544e-06 6.873162594622783672e-10 2.859018924383782689e-11 1.324505574302747846e-04 3.108114105998538435e-05 3.630844177678227425e-03 1.970734912902116776e-03 4.661110229790210724e-03 2.360333222895860672e-03 2.250192919746041298e-03 2.217666478827595711e-03 3.515891730785369873e-02 5.690873877028934658e-06 5.730416887672618032e-06 2.024752348006586544e-06 6.873162594622783672e-10 2.859018924383782689e-11 1.324505574302747846e-04 3.108114105998538435e-05
1.500000000000000000e+03 1.053927582688629627e-03 2.766296733170747757e-03 4.032480530440807343e-03 3.123329719528555870e-03 5.661159520968794823e-04 2.364987274631857872e-03 5.668486002832651138e-03 1.709046841824601870e-06 5.362870524550089613e-06 7.172974392233300023e-07 1.456298276414358384e-10 1.900020363265753076e-09 3.894413021043874323e-05 4.592823097482323647e-05 1.596683054231107235e-03 2.433101646602153778e-03 3.579472657293081284e-03 2.848658710718154907e-03 5.661159520968794823e-04 2.364987274631857872e-03 5.668486002832651138e-03 1.709046841824601870e-06 5.362870524550089613e-06 7.172974392233300023e-07 1.456298276414358384e-10 1.900020363265753076e-09 3.894413021043874323e-05 4.592823097482323647e-05
2.000000000000000000e+03 5.831995513290166855e-04 2.644112566486001015e-03 3.331367857754230499e-03 3.560525830835103989e-03 2.594188554212450981e-04 2.266897354274988174e-03 9.495950071141123772e-04 9.600095154382870533e-07 5.549738034460460767e-06 7.121585099412186537e-07 4.113440491004816124e-11 1.782032077457529340e-09 1.266583058168180287e-05 5.709727702196687460e-06 1.044244505465030670e-03 2.326932270079851151e-03 2.917120698839426041e-03 3.247007494792342186e-03 2.594188554212450981e-04 2.266897354274988174e-03 9.495950071141123772e-04 9.600095154382870533e-07 5.549738034460460767e-06 7.121585099412186537e-07 4.113440491004816124e-11 1.782032077457529340e-09 1.266583058168180287e-05 5.709727702196687460e-06
2.500000000000000000e+03 3.832506772596389055e-04 2.446220489218831062e-03 3.048028098419308662e-03 3.470383351668715477e-03 2.226783690275624394e-04 1.946097821928560734e-03 5.479382816702127457e-04 7.068490504025248811e-07 6.915916856087278575e-06 1.320079377364891116e-06 8.376554658240387141e-12 2.011546040847633776e-09 7.016498784651048481e-06 4.182476459391182289e-06 7.897266768850386143e-04 2.147963969036936760e-03 2.645765896886587143e-03 3.165005939081311226e-03 2.226783690275624394e-04 1.946097821928560734e-03 5.479382816702127457e-04 7.068490504025248811e-07 6.915916856087278575e-06 1.320079377364891116e-06 8.376554658240387141e-12 2.011546040847633776e-09 7.016498784651048481e-06 4.182476459391182289e-06
3.000000000000000000e+03 3.185301611665636301e-04 2.131550339981913567e-03 2.802885603159666061e-03 3.264361992478370667e-03 2.197356079705059528e-04 1.572793582454323769e-03 4.721462028101086617e-04 5.520363970390462782e-07 9.354979738418478519e-06 2.226215201517334208e-06 3.580090217336628911e-12 2.979160695915084034e-09 6.645542725891573355e-06 3.003239044119254686e-06 6.582139176316559315e-04 1.833635149523615837e-03 2.397121163085103035e-03 2.977445255964994431e-03 2.197356079705059528e-04 1.572793582454323769e-03 4.721462028101086617e-04 5.520363970390462782e-07 9.354979738418478519e-06 2.226215201517334208e-06 3.580090217336628911e-12 2.979160695915084034e-09 6.645542725891573355e-06 3.003239044119254686e-06
3.500000000000000000e+03 2.994924434460699558e-04 1.768779125995934010e-03 2.543933223932981491e-03 3.036542329937219620e-03 2.402444806648418307e-04 1.196451717987656593e-03 4.228274920023977757e-04 3.954496605729218572e-07 1.308758874074555933e-05 3.688386414069100283e-06 1.278135930427026778e-11 2.006611543592384805e-09 5.906956630497006699e-06 1.725579409139754716e-06 5.749943084083497524e-04 1.455571269616484642e-03 2.122699748724699020e-03 2.770422026515007019e-03 2.402444806648418307e-04 1.196451717987656593e-03 4.228274920023977757e-04 3.954496605729218572e-07 1.308758874074555933e-05 3.688386414069100283e-06 1.278135930427026778e-11 2.006611543592384805e-09 5.906956630497006699e-06 1.725579409139754716e-06
4.000000000000000000e+03 2.764906093943864107e-04 1.460251747630536556e-03 2.298753475770354271e-03 2.798204310238361359e-03 2.810287405736744404e-04 8.523176074959337711e-04 3.591411514207720757e-04 2.298502579378691735e-07 1.826340303523465991e-05 5.953990239504491910e-06 1.634293533836483903e-10 3.437711226794704089e-10 4.979193363396916538e-06 6.103186933614779264e-06 4.747777129523456097e-04 1.121708424761891365e-03 1.853153924457728863e-03 2.553437603637576103e-03 2.810287405736744404e-04 8.523176074959337711e-04 3.591411514207720757e-04 2.298502579378691735e-07 1.826340303523465991e-05 5.953990239504491910e-06 1.634293533836483903e-10 3.437711226794704089e-10 4.979193363396916538e-06 6.103186933614779264e-06
4.500000000000000000e+03 2.501647686585783958e-04 1.221447018906474113e-03 2.115452662110328674e-03 2.539838431403040886e-03 3.449016076046973467e-04 5.938537069596350193e-04 2.935020020231604576e-04 1.226625414574300521e-07 2.410139313724357635e-05 9.107980076805688441e-06 2.316295627524667111e-10 1.403776983543991719e-09 3.244138724767253734e-06 1.784370397217571735e-05 3.796757373493164778e-04 8.624437032267451286e-04 1.644989475607872009e-03 2.316024387255311012e-03 3.449016076046973467e-04 5.938537069596350193e-04 2.935020020231604576e-04 1.226625414574300521e-07 2.410139313724357635e-05 9.107980076805688441e-06 2.316295627524667111e-10 1.403776983543991719e-09 3.244138724767253734e-06 1.784370397217571735e-05
