metric,U,V,W
MAE,0.0006618230125349718,0.00024764867923143856,0.004221316143830277
RMSE,0.0009946807217203414,0.0003065394503687342,0.005614466296278243
MaxAbs,0.0021211754130921346,0.0010193592849169208,0.010221564389956805
