component,RelativeL2_error,RelativeL2_percent,Accuracy_percent
U,0.12035622503191394,12.035622503191394,87.96437749680861
V,0.009720010666671742,0.9720010666671741,99.02799893333282
W,0.009232723576967996,0.9232723576967996,99.0767276423032
