metric,U,V,W
MAE,0.008308172264611172,0.008291352511878713,0.005791805704686515
RMSE,0.008827437381348419,0.008756871277253104,0.007057361114655658
MaxAbs,0.014315238472573932,0.014454446196115245,0.012736343957675311
