metric,U,V,W
MAE,0.002986350501355351,0.0032219612301787647,0.004481407988125577
RMSE,0.003982611838061368,0.004281829390766499,0.005941771662717693
MaxAbs,0.0072641489579959835,0.007969323716953691,0.010740219181027966
