metric,U,V,W
MAE,0.005730111641800207,0.005049344017489161,0.0065092814073438076
RMSE,0.006152710278015935,0.006625421726712961,0.008155871828492024
MaxAbs,0.009501175296417086,0.012962921127517513,0.014841791870299215
