# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 8.167832374572753906e+00 3.452938497066497803e-01 3.374783515930175781e+00 2.447341330480412580e-06 8.534553647041320801e-01 5.486165285110473633e-01 7.381096482276916504e-03 4.544399213045835495e-03 2.509681275114417076e-03 4.557900410873116925e-06 8.660814166069030762e-01 4.777852892875671387e-01 1.057508494704961777e-02 8.193305969238281250e+00 3.364083170890808105e-01 3.293383598327636719e+00 1.493596073487424292e-06 8.534555435180664062e-01 5.486165285110473633e-01 7.381096482276916504e-03 4.544393159449100494e-03 2.509683370590209961e-03 4.557888587441993877e-06 8.660814166069030762e-01 4.777852892875671387e-01 1.057508494704961777e-02
5.000000000000000000e+02 2.157889830414205790e-04 1.650587510084733367e-04 9.238324309990275651e-06 5.017749913349689450e-07 1.793548872228711843e-04 1.626951780053786933e-05 3.612427462940104306e-05 3.019489668076857924e-05 4.686458851210772991e-06 1.421207161911297590e-05 9.082423275685869157e-06 4.469780208182783099e-07 2.189686711062677205e-06 1.182283740490674973e-04 1.162976241175783798e-05 5.211406005400931463e-06 3.800646197760215728e-07 1.793560077203437686e-04 1.626995617698412389e-05 3.612425280152820051e-05 3.019535142811946571e-05 4.686484771809773520e-06 1.421206889062887058e-05 9.082974429475143552e-06 4.469839041121304035e-07 2.189708084188168868e-06
1.000000000000000000e+03 8.939987310441210866e-05 1.226626482093706727e-04 9.271482667827513069e-06 1.161724185294588096e-06 9.279699588660150766e-05 5.997350854158867151e-06 8.937206985137891024e-06 8.686788532941136509e-06 1.587487986398627982e-06 3.475714720480027609e-06 3.052474994547083043e-06 4.685103078827523859e-07 3.965342045830766438e-07 3.937730434699915349e-05 3.681077942019328475e-06 3.548139375197933987e-06 9.551733910484472290e-07 9.279627556679770350e-05 5.997042080707615241e-06 8.937216080084908754e-06 8.686747605679556727e-06 1.587411134096328169e-06 3.475716994216782041e-06 3.052391093660844490e-06 4.685286398853349965e-07 3.965343182699143654e-07
1.500000000000000000e+03 5.430558667285367846e-05 9.716195199871435761e-05 1.042303119902499020e-05 1.630547558306716383e-06 4.525037002167664468e-05 4.444969363248674199e-06 4.788603746419539675e-06 4.127213742322055623e-06 1.533663748887192924e-06 1.909383854581392370e-06 1.261776333194575273e-06 4.818991783395176753e-07 4.652969121110572814e-09 2.648288864293135703e-05 1.949953912117052823e-06 2.855240154531202279e-06 1.370779159515223000e-06 4.524956602836027741e-05 4.445376816875068471e-06 4.788598289451329038e-06 4.127237843931652606e-06 1.533578711132577155e-06 1.909386355691822246e-06 1.261858642465085723e-06 4.819558512281219009e-07 4.654133967108009529e-09
2.000000000000000000e+03 4.327206261223182082e-05 7.979333167895674706e-05 1.104605053114937618e-05 1.979084572667488828e-06 2.124348065990488976e-05 4.939707196172093973e-06 3.597802788135595620e-06 1.962933083632378839e-06 1.697768652775266673e-06 1.002515432446671184e-06 5.282066695144749247e-07 4.915645490655151661e-07 5.207470010759607248e-08 2.536861575208604336e-05 2.233513669125386514e-06 2.282467676195665263e-06 1.667458491283468902e-06 2.124365346389822662e-05 4.939290192851331085e-06 3.597830072976648808e-06 1.962868964255903848e-06 1.697840730230382178e-06 1.002514068204618525e-06 5.282471420287038200e-07 4.915274303129990585e-07 5.207341402524434670e-08
2.500000000000000000e+03 3.412109072087332606e-05 6.736837531207129359e-05 1.098907978303031996e-05 2.192432475567329675e-06 9.792951459530740976e-06 4.793563221028307453e-06 2.041137122432701290e-06 1.081546201930905227e-06 1.645167458264040761e-06 4.511863096468005097e-07 3.679327562622347614e-07 4.874797241427586414e-07 3.480760923935122264e-08 2.165271871490404010e-05 3.028936816917848773e-06 1.774024667611229233e-06 1.847457838266564067e-06 9.793123354029376060e-06 4.793856987816980109e-06 2.041137804553727619e-06 1.081529148905246984e-06 1.645103566261241212e-06 4.511855706823553191e-07 3.679299709347105818e-07 4.874376031693827827e-07 3.480666066479898291e-08
3.000000000000000000e+03 2.463778037053998560e-05 5.688007877324707806e-05 1.055645225278567523e-05 2.253808588648098521e-06 4.059392722410848364e-06 4.109501787752378732e-06 1.015676502902351785e-06 6.363297870848327875e-07 1.445992666049278341e-06 1.971104808262680308e-07 3.605556173624790972e-07 4.750578455059439875e-07 9.584681492924573831e-09 1.621285628061741590e-05 3.607902499425108545e-06 1.373666009385487996e-06 1.898281766443687957e-06 4.059381353727076203e-06 4.109640940441749990e-06 1.015671159620978869e-06 6.363201805470453110e-07 1.445984821657475550e-06 1.971084486740437569e-07 3.605801452977175359e-07 4.750687594423652627e-07 9.585477300788625143e-09
3.500000000000000000e+03 1.717642226140014827e-05 4.694434392149560153e-05 9.885650797514244914e-06 2.162226337532047182e-06 1.316897737524413969e-06 3.299892796349013224e-06 6.600727147088036872e-07 3.709689053721376695e-07 1.257066173820930999e-06 9.459862582161804312e-08 3.509063901674380759e-07 4.576498895403346978e-07 3.394889258601097026e-09 1.147096918430179358e-05 3.724503812918555923e-06 1.073545831786759663e-06 1.816844246604887303e-06 1.316870680057036225e-06 3.299598120065638795e-06 6.600766369047050830e-07 3.709669442741869716e-07 1.257048552361084148e-06 9.459935768063587602e-08 3.508602048896136694e-07 4.575112768634426175e-07 3.395361103386562718e-09
4.000000000000000000e+03 1.226736276294104755e-05 3.734697020263411105e-05 8.976742719823960215e-06 1.921775037772022188e-06 3.429339869853720302e-07 2.450895181027590297e-06 6.354020456456055399e-07 2.094756439419143135e-07 1.134509830080787651e-06 5.123324342548585264e-08 2.945541552890063031e-07 4.332071910084778210e-07 7.940232471526087465e-09 8.012811122171115130e-06 3.309500016257516108e-06 8.624601832707412541e-07 1.605671172910660971e-06 3.428835100294236327e-07 2.451002274028724059e-06 6.354106858452723827e-07 2.094849946843169164e-07 1.134395120061526541e-06 5.123397173179000674e-08 2.945272399301757105e-07 4.331707543769880431e-07 7.939505941578772763e-09
4.500000000000000000e+03 9.264703294320497662e-06 2.830883204296696931e-05 7.842010745662264526e-06 1.559279439788952004e-06 2.522664601656288141e-07 1.616435156392981298e-06 6.096933589105901774e-07 1.193415215539062046e-07 1.079618755284172948e-06 3.063207998366124230e-08 2.099542797395770322e-07 3.982248983902536565e-07 9.903149411627509835e-09 5.679869900632183999e-06 2.474364237059489824e-06 7.167448075051652268e-07 1.288160319745657034e-06 2.521838666780240601e-07 1.616363078937865794e-06 6.096950642131560016e-07 1.193401715227082605e-07 1.079583057617128361e-06 3.063151865489999182e-08 2.099238969321959303e-07 3.982636656019167276e-07 9.905466669124507462e-09
5.000000000000000000e+03 7.330691460083471611e-06 2.046986264758743346e-05 6.731057055731071159e-06 1.144953444054408465e-06 4.362673280411399901e-07 1.002416865958366543e-06 4.872005661127332132e-07 7.414422498186468147e-08 1.072583927452797070e-06 2.045664082572784537e-08 1.739112036602818989e-07 3.393282668184838258e-07 7.340016150436667886e-09 4.164856818533735350e-06 1.515500798632274382e-06 6.115547535046061967e-07 9.264850859835860319e-07 4.362325398687971756e-07 1.002459271148836706e-06 4.871894248026364949e-07 7.414291758323088288e-08 1.072586883310577832e-06 2.045722524712800805e-08 1.739088872909633210e-07 3.393139422769309022e-07 7.339366447922657244e-09
