Re,r_train,r_eval,evaluation_type,checkpoint,E_u_relL2_pct,E_v_relL2_pct,E_w_relL2_pct,E_uvw_combined_relL2_pct,du_dz_PINN,du_dz_ref,E_du_dz_rel_pct,dv_dz_PINN,dv_dz_ref,E_dv_dz_rel_pct,w_far_PINN,w_far_ref,E_w_far_rel_pct,lambda_slip,eta_slip,n_hidden_layers,neurons_per_layer,noise_level,N_profile
196.0,0.25,0.25,training_radius,MWDisk_noise_sweep\Re196_lam0.77_eta0.0_robs0.25_64x4_noise0pct\model_adam-2000.pt,1.8879607792454558,0.26397620101387365,0.8538371672157206,0.3907826898888521,0.9796151518821716,0.9559659452028162,2.4738545131268315,-2.969451904296875,-2.9329318760128382,1.245171378943986,-0.07219848036766052,-0.0723973881587112,0.27474442947393524,0.77,0.0,4,64,0.0,400
196.0,0.25,1.0,transfer_to_r1,MWDisk_noise_sweep\Re196_lam0.77_eta0.0_robs0.25_64x4_noise0pct\model_adam-2000.pt,2.4916966828245024,0.8873018273292769,2.6514928796736204,0.9356936435552015,3.7764480113983154,3.8238637808112648,1.2399963003621872,-11.421465873718262,-11.731727504051353,2.64463720475904,-0.06958382576704025,-0.0723973881587112,3.886276098114197,0.77,0.0,4,64,0.0,400
196.0,0.5,0.5,training_radius,MWDisk_noise_sweep\Re196_lam0.77_eta0.0_robs0.50_64x4_noise0pct\model_adam-2000.pt,1.5529574706178666,0.21270263081735066,1.029963669534729,0.29952404451031334,1.9233099222183228,1.9119318904056324,0.5951065448401734,-5.9321818351745605,-5.8658637520256764,1.1305766030788267,-0.07211466878652573,-0.0723973881587112,0.3905104581475975,0.77,0.0,4,64,0.0,400
196.0,0.5,1.0,transfer_to_r1,MWDisk_noise_sweep\Re196_lam0.77_eta0.0_robs0.50_64x4_noise0pct\model_adam-2000.pt,2.4982773799976687,0.44100754254067526,2.679569618937729,0.5412908016627916,3.796175479888916,3.8238637808112648,0.7240922404530438,-11.310389518737793,-11.731727504051353,3.591440264599208,-0.07124852389097214,-0.0723973881587112,1.586886346259481,0.77,0.0,4,64,0.0,400
196.0,0.75,0.75,training_radius,MWDisk_noise_sweep\Re196_lam0.77_eta0.0_robs0.75_64x4_noise0pct\model_adam-2000.pt,1.4566260010746825,0.07714456959393098,1.0062994723065581,0.19249946418520708,2.8558201789855957,2.867897835608449,0.42113273607219404,-8.755043983459473,-8.798795628038516,0.4972458325957993,-0.07250998914241791,-0.0723973881587112,0.15553183142443944,0.77,0.0,4,64,0.0,400
196.0,0.75,1.0,transfer_to_r1,MWDisk_noise_sweep\Re196_lam0.77_eta0.0_robs0.75_64x4_noise0pct\model_adam-2000.pt,2.764801632083577,0.39922915286898103,3.2405516357611215,0.5382511158200177,3.7606289386749268,3.8238637808112648,1.65368971702549,-11.289916038513184,-11.731727504051353,3.7659540369105677,-0.0706634521484375,-0.0723973881587112,2.3950256416329965,0.77,0.0,4,64,0.0,400
196.0,1.0,1.0,training_radius,MWDisk_noise_sweep\Re196_lam0.77_eta0.0_robs1.00_64x4_noise0pct\model_adam-2000.pt,2.7366795357684257,0.1900718182446768,1.6345978966027646,0.35769322328570674,3.782802104949951,3.8238637808112648,1.0738268467451006,-11.408514976501465,-11.731727504051353,2.755029277983759,-0.07169640064239502,-0.0723973881587112,0.9682497313017199,0.77,0.0,4,64,0.0,400
