sampler,pde_weighting,n_pde_points,n_obs,r_train,r_eval,evaluation_type,E_u_relL2_pct,E_v_relL2_pct,E_w_relL2_pct,E_du_dz_rel_pct,E_dv_dz_rel_pct,E_w_far_rel_pct
Clenshaw-Curtis,CC quadrature weighted,20069,10,1.0,1.0,training_radius,11.708291336630966,1.2489192111503669,1.6101304138731982,0.5914416443694667,1.1052506430379514,0.46529316535870674
Clenshaw-Curtis,CC quadrature weighted,20069,30,1.0,1.0,training_radius,5.892679924836065,0.6355415853811734,0.7020545408858738,1.7682009287004645,0.07927039703787049,0.4521865190580644
DeepXDE-Hammersley,unweighted mean-square,20069,10,1.0,1.0,training_radius,23.421449403293,15.68010347195279,3.0277738686906703,0.5156313262312974,5.387230030084697,0.48674913592707636
DeepXDE-Hammersley,unweighted mean-square,20069,30,1.0,1.0,training_radius,30.464944403660244,4.090820455463206,1.9962908784402176,5.554383017056366,15.861854979680114,0.6040174441812362
