metric,U,V,W
MAE,0.0005986104517782024,0.0004991903813975763,0.004708317724808592
RMSE,0.000752783240016601,0.0006320950015752027,0.006281432385110442
MaxAbs,0.0013860013133370087,0.0013043072728850524,0.011489235975039813
