# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 5.095433235168457031e+00 2.159980297088623047e+00 6.949464321136474609e+00 1.577136821140356915e-08 1.198164343833923340e+00 3.159501791000366211e+00 7.071129977703094482e-03 4.703825116157531738e-01 3.155084252357482910e-01 1.014705398119986057e-03 4.761520624160766602e-01 1.371691107749938965e+00 5.095526218414306641e+00 2.142099857330322266e+00 6.892399311065673828e+00 1.578808905833284371e-08 1.198164343833923340e+00 3.159501791000366211e+00 7.071129977703094482e-03 4.703825116157531738e-01 3.155084252357482910e-01 1.014705398119986057e-03 4.761520624160766602e-01 1.371691107749938965e+00
1.000000000000000000e+01 1.544451236724853516e+00 9.425818324089050293e-01 1.131774544715881348e+00 1.119991566156386398e-08 3.465394973754882812e-01 1.625674486160278320e+00 4.286758136004209518e-03 1.422957628965377808e-01 6.229868531227111816e-02 1.561063254484906793e-04 1.448478698730468750e-01 7.362886667251586914e-01 1.544440865516662598e+00 9.347705245018005371e-01 1.122458577156066895e+00 1.120584602887220171e-08 3.465394973754882812e-01 1.625674486160278320e+00 4.286758136004209518e-03 1.422957628965377808e-01 6.229868531227111816e-02 1.561063254484906793e-04 1.448478698730468750e-01 7.362886667251586914e-01
2.000000000000000000e+01 1.976564675569534302e-01 3.089406192302703857e-01 7.044417411088943481e-02 7.778816701886626106e-09 3.820141777396202087e-02 7.512576580047607422e-01 2.511078258976340294e-03 1.806784607470035553e-02 9.633744048187509179e-05 1.555045491841156036e-05 1.881073601543903351e-02 3.572798371315002441e-01 1.976352781057357788e-01 3.063737452030181885e-01 6.986056268215179443e-02 7.771962629021800240e-09 3.820141777396202087e-02 7.512576580047607422e-01 2.511078258976340294e-03 1.806784607470035553e-02 9.633744048187509179e-05 1.555045491841156036e-05 1.881073601543903351e-02 3.572798371315002441e-01
3.000000000000000000e+01 5.252684350125491619e-04 6.508268415927886963e-02 8.369481656700372696e-05 6.373667815751105081e-09 3.873579902574419975e-03 3.206582069396972656e-01 1.540338620543479919e-03 3.665740587166510522e-05 4.525741562247276306e-02 2.620748709887266159e-04 7.288147753570228815e-05 1.551785767078399658e-01 5.233590491116046906e-04 6.453812867403030396e-02 8.287335367640480399e-05 6.356619230984961177e-09 3.873579902574419975e-03 3.206582069396972656e-01 1.540338620543479919e-03 3.665740587166510522e-05 4.525741562247276306e-02 2.620748709887266159e-04 7.288147753570228815e-05 1.551785767078399658e-01
4.000000000000000000e+01 4.369002766907215118e-03 1.012766454368829727e-02 2.639013691805303097e-04 6.353038095596730273e-09 7.976561784744262695e-03 1.487889140844345093e-01 1.098983688279986382e-03 4.405705258250236511e-04 1.284408420324325562e-01 5.569132626987993717e-04 3.422169247642159462e-04 6.122960895299911499e-02 4.372916184365749359e-03 1.004168111830949783e-02 2.617711434140801430e-04 6.329046176034580640e-09 7.976561784744262695e-03 1.487889140844345093e-01 1.098983688279986382e-03 4.405705258250236511e-04 1.284408420324325562e-01 5.569132626987993717e-04 3.422169247642159462e-04 6.122960895299911499e-02
5.000000000000000000e+01 1.836337178247049451e-04 1.943168230354785919e-03 4.135937160754110664e-06 6.918610129247326768e-09 5.062060430645942688e-03 1.016855984926223755e-01 9.440869907848536968e-04 2.461065014358609915e-05 1.958765983581542969e-01 7.156032952480018139e-04 5.508518825081409886e-06 2.635657042264938354e-02 1.839466567616909742e-04 1.926288241520524025e-03 4.101719241589307785e-06 6.889528059161875717e-09 5.062060430645942688e-03 1.016855984926223755e-01 9.440869907848536968e-04 2.461065014358609915e-05 1.958765983581542969e-01 7.156032952480018139e-04 5.508518825081409886e-06 2.635657042264938354e-02
6.000000000000000000e+01 4.621610278263688087e-04 8.990318747237324715e-04 9.423905794392339885e-06 7.575363447642757819e-09 3.916667308658361435e-03 9.428329765796661377e-02 9.266549604944884777e-04 2.987113475683145225e-05 2.215399742126464844e-01 7.344851619563996792e-04 6.787782331230118871e-05 1.773378811776638031e-02 4.604418063536286354e-04 8.910425822250545025e-04 9.327716725238133222e-06 7.541459901005964639e-09 3.916667308658361435e-03 9.428329765796661377e-02 9.266549604944884777e-04 2.987113475683145225e-05 2.215399742126464844e-01 7.344851619563996792e-04 6.787782331230118871e-05 1.773378811776638031e-02
7.000000000000000000e+01 6.297489017015323043e-05 1.085576834157109261e-03 1.642049596739525441e-06 8.174227517088183959e-09 4.317893646657466888e-03 9.516415745019912720e-02 9.660273790359497070e-04 1.260665044355846476e-06 2.148820906877517700e-01 6.862545851618051529e-04 1.630755650694482028e-05 1.934201642870903015e-02 6.199790368555113673e-05 1.075852313078939915e-03 1.618147848603257444e-06 8.135129903052984446e-09 4.317893646657466888e-03 9.516415745019912720e-02 9.660273790359497070e-04 1.260665044355846476e-06 2.148820906877517700e-01 6.862545851618051529e-04 1.630755650694482028e-05 1.934201642870903015e-02
8.000000000000000000e+01 1.047230980475433171e-04 1.693299738690257072e-03 1.726831442283582874e-06 8.816932073330008279e-09 4.924367647618055344e-03 9.900250285863876343e-02 1.015563728287816048e-03 1.674326085776556283e-05 1.989770233631134033e-01 6.305464194156229496e-04 9.967386631615227088e-07 2.410641312599182129e-02 1.045498211169615388e-04 1.678100437857210636e-03 1.707530032035720069e-06 8.772158111014505266e-09 4.924367647618055344e-03 9.900250285863876343e-02 1.015563728287816048e-03 1.674326085776556283e-05 1.989770233631134033e-01 6.305464194156229496e-04 9.967386631615227088e-07 2.410641312599182129e-02
9.000000000000000000e+01 2.457459413562901318e-05 2.313235308974981308e-03 2.683593720576027408e-07 9.602382000650777627e-09 4.684823565185070038e-03 1.028800755739212036e-01 1.049236860126256943e-03 5.102283466840162873e-06 1.869868040084838867e-01 5.945563316345214844e-04 1.133590785684646107e-06 2.807267569005489349e-02 2.398340257059317082e-05 2.292372751981019974e-03 2.556990068569575669e-07 9.551229140924988315e-09 4.684823565185070038e-03 1.028800755739212036e-01 1.049236860126256943e-03 5.102283466840162873e-06 1.869868040084838867e-01 5.945563316345214844e-04 1.133590785684646107e-06 2.807267569005489349e-02
