metric,U,V,W
MAE,0.0007673900721324413,0.0028071770739912707,0.003417054268227594
RMSE,0.0008617970440390705,0.0030682800194102794,0.0044057818994786115
MaxAbs,0.0014252870050598943,0.004751360567925023,0.007782240636937554
