# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.553718924522399902e+00 1.655540168285369873e-01 6.120514869689941406e-01 1.203635378033141023e-07 1.001381203532218933e-01 4.599289000034332275e-01 3.331156913191080093e-04 1.436347956769168377e-03 3.233582538086920977e-04 1.741521060694140033e-08 3.981003537774085999e-02 9.160783141851425171e-02 1.569866687059402466e-01 4.188681244850158691e-01 1.115950872190296650e-03 1.559064507484436035e+00 1.604611128568649292e-01 5.973793268203735352e-01 8.474718526940705488e-08 1.001381427049636841e-01 4.599289596080780029e-01 3.331158077344298363e-04 1.436346326954662800e-03 3.233584284316748381e-04 1.741501520768906630e-08 3.981003537774085999e-02 9.160783886909484863e-02 1.569867283105850220e-01 4.188681244850158691e-01 1.115950988605618477e-03
5.000000000000000000e+02 2.641942119225859642e-04 4.853771315538324416e-05 3.131354105789796449e-06 5.274259606835585146e-08 3.948980884160846472e-05 2.264752765768207610e-06 1.855592381616588682e-05 7.099090908013749868e-06 2.712477851218864089e-07 8.129421075864229351e-06 1.803627674235031009e-04 1.109692311729304492e-05 3.644849471129418816e-07 4.013767096466835937e-08 3.460791901943593984e-07 1.862645585788413882e-04 2.388100028838380240e-06 6.016765610183938406e-07 5.394867130803504551e-08 3.949000165448524058e-05 2.264874638058245182e-06 1.855588925536721945e-05 7.099177764757769182e-06 2.712157538553583436e-07 8.129423804348334670e-06 1.803617342375218868e-04 1.109701315726852044e-05 3.645280912678572349e-07 4.014192356294188357e-08 3.460810660271818051e-07
1.000000000000000000e+03 8.980418351711705327e-05 4.670663111028261483e-05 2.653854380696429871e-06 4.892912741638610896e-08 2.481096998963039368e-05 1.735092382659786381e-06 4.908366918243700638e-06 2.218672989329206757e-06 7.365744636445015203e-07 4.223205451125977561e-06 5.801570296171121299e-05 7.610063676111167297e-06 2.243502592591539724e-07 1.452409836844026358e-08 1.844844916831789305e-07 5.596523988060653210e-05 7.843909202165377792e-07 2.565305692314723274e-07 3.524333180848771008e-08 2.481091905792709440e-05 1.735216642373416107e-06 4.908378741674823686e-06 2.218672761955531314e-06 7.365597411990165710e-07 4.223206360620679334e-06 5.801589941256679595e-05 7.610046395711833611e-06 2.243602210683093290e-07 1.453511178084454514e-08 1.844841648335204809e-07
1.500000000000000000e+03 3.501079117995686829e-05 3.968695455114357173e-05 2.396511035840376280e-06 7.494840303934324766e-08 1.655520100030116737e-05 2.357469838898396119e-06 8.336959922417008784e-07 8.602249863542965613e-07 5.170687700228882022e-07 3.295913302281405777e-06 1.997158142330590636e-05 5.692247214028611779e-06 1.375737213038519258e-07 1.784008851757334924e-08 3.168710449585887545e-08 2.137875344487838447e-05 9.839118320087436587e-07 2.960325673484476283e-07 3.828469274935741851e-08 1.655527194088790566e-05 2.357353650950244628e-06 8.336934342878521420e-07 8.602231673648930155e-07 5.170927011022286024e-07 3.295911938039353117e-06 1.997156505240127444e-05 5.692325885320315138e-06 1.375668574610244832e-07 1.783484293582660030e-08 3.168692686017493543e-08
2.000000000000000000e+03 1.559114934934768826e-05 3.184591332683339715e-05 1.995282445932389237e-06 1.027886114002285467e-07 1.144032194133615121e-05 2.086474978568730876e-06 1.688477624384177034e-07 5.157396003596659284e-07 2.784297521429834887e-07 1.966267745956429280e-06 6.478627710748696700e-06 3.476874326224788092e-06 1.039295653981753276e-07 2.313745817161816376e-08 1.816729100490022120e-09 9.712914106785319746e-06 1.507495198893593624e-06 3.300177411347249290e-07 4.999293423679773696e-08 1.144007819675607607e-05 2.086395170408650301e-06 1.688439965619181748e-07 5.157604050509689841e-07 2.784064179195411270e-07 1.966265472219674848e-06 6.478563591372221708e-06 3.476957090242649429e-06 1.039183388229503180e-07 2.315084124404620525e-08 1.816906847196264607e-09
2.500000000000000000e+03 8.617440471425652504e-06 2.498055437172297388e-05 1.601658937033789698e-06 1.186793738838787249e-07 8.581941074226051569e-06 1.787460746527358424e-06 5.830300509046537627e-08 3.923445319742313586e-07 1.279020267475061701e-07 8.020139148356975056e-07 1.831842382671311498e-06 1.666268303779361304e-06 6.841833055659662932e-08 3.269114756676572142e-08 3.769856996016507367e-11 5.278306616673944518e-06 1.826036509555706289e-06 3.294272801213082857e-07 5.930651880703408096e-08 8.581678230257239193e-06 1.787664928087906446e-06 5.830483118529627973e-08 3.923517795101361116e-07 1.279098711393089616e-07 8.020140853659540880e-07 1.831847839639522135e-06 1.666277626100054476e-06 6.843489330776719726e-08 3.271455994990901672e-08 3.767568201862303567e-11
3.000000000000000000e+03 6.157070856716018170e-06 1.944165705936029553e-05 1.302524992752296384e-06 1.160662677079926652e-07 6.497662980109453201e-06 1.407063564329291694e-06 5.542756298382300884e-08 3.641304999746353133e-07 5.636350408622092800e-08 2.498636320069635985e-07 5.534570846066344529e-07 7.324190391955198720e-07 3.033861517565128452e-08 4.325039881791781227e-08 2.714742874942999151e-10 3.711983936227625236e-06 1.816928943298989907e-06 2.979085707011108752e-07 5.914981215937586967e-08 6.497901722468668595e-06 1.407123932040121872e-06 5.543060055401838326e-08 3.641342232185706962e-07 5.636540478803908627e-08 2.498672699857706903e-07 5.534198521672806237e-07 7.323421300498011988e-07 3.035545148577512009e-08 4.324283153778196720e-08 2.714042879325972990e-10
3.500000000000000000e+03 1.637754576222505420e-05 1.541811798233538866e-05 1.115570512411068194e-06 1.000492488856252749e-07 6.422678325179731473e-06 9.640797316023963504e-07 7.211921371208518394e-08 5.511393510460038669e-07 3.673651249869180901e-08 1.110659368919186818e-07 2.369663008039424312e-07 4.543307170479238266e-07 1.039603375829756260e-06 4.376950357709574746e-08 1.677707639480274793e-09 1.397826417814940214e-05 1.538202695883228444e-06 2.438575847918400541e-07 5.121977508792951994e-08 6.422153091989457607e-06 9.641353244660422206e-07 7.212050689986426733e-08 5.511253675649641082e-07 3.673421389294162509e-08 1.110653968794395041e-07 2.369715730310417712e-07 4.543618672414595494e-07 1.039622702592168935e-06 4.375386808419534646e-08 1.677695093960096528e-09
4.000000000000000000e+03 4.582311248668702319e-06 1.234654337167739868e-05 9.703616115075419657e-07 7.814219316060189158e-08 3.644831622295896523e-06 6.218305657057499047e-07 8.164986553538255976e-08 3.853063503811426926e-07 2.158725997958299558e-08 3.286183769546369149e-08 1.390992849792382913e-07 4.627153202818590216e-07 2.339721483224366239e-08 3.826487926517074811e-08 2.339425320130317232e-10 2.824563807735103182e-06 1.345966552435129415e-06 2.260365903339334182e-07 3.928511560502556677e-08 3.644503976829582825e-06 6.220000159373739734e-07 8.164789022657714668e-08 3.852922816349746427e-07 2.158763479087610904e-08 3.286237770794286916e-08 1.390968691339367069e-07 4.627344480923056835e-07 2.339205273926836526e-08 3.826671601814268797e-08 2.339868854228654982e-10
4.500000000000000000e+03 1.149021118180826306e-04 1.046666875481605530e-05 1.022201900013897102e-06 6.104082928004572750e-08 2.191576641052961349e-05 4.297095017591345822e-07 9.144129364813124994e-08 8.994696827357984148e-07 2.507529117679041519e-08 3.418040961378210341e-08 2.421643557681818493e-06 5.132893647896707989e-07 1.069795962393982336e-05 3.318749364211726061e-08 2.277947608320118889e-08 1.127428986364975572e-04 1.027443659040727653e-06 1.892755676635715645e-07 3.009957794120055041e-08 2.191501880588475615e-05 4.296539373171981424e-07 9.144090284962658188e-08 8.994834388431627303e-07 2.507423602082781144e-08 3.417979854702934972e-08 2.421629005766590126e-06 5.132603746460517868e-07 1.069784502760739997e-05 3.320247898841444112e-08 2.277970878594715032e-08
