metric,U,V,W
MAE,0.0006278454328978474,0.003908167233835351,0.004016652014419754
RMSE,0.0008061193006026314,0.00533363713568868,0.005292935853073593
MaxAbs,0.0014812092866477757,0.010118249734820672,0.00960713488384779
