Re,n_hidden_layers,neurons_per_layer,activation,noise_level,E_U_relL2,E_V_relL2,E_W_relL2,E_comb_relL2,u_prime_r1_z0,v_prime_r1_z0,w_r1_zL,Rel_U,Rel_V,Rel_W,Fp0_ref,Gp0_ref,Hinf_ref
196,4,64,tanh,0.0,0.011208291165530682,0.0007143415277823806,0.009546020068228245,0.0012890096986666322,6.840110778808594,-8.416768074035645,-0.06305735558271408,0.04240233923562316,0.023886508309395767,0.0005744971162186891,0.5102135911166236,-0.6159096505599109,-0.8822961015919816
196,4,64,tanh,0.0,0.008010472171008587,0.0005015421775169671,0.008602890186011791,0.0009976713918149471,6.201736927032471,-9.208913803100586,-0.06483222544193268,0.04007632772331732,0.013477705100670508,0.0008256879652284139,0.4614754504627589,-0.6667660333327299,-0.9084012121355168
196,4,64,tanh,0.0,0.06787776201963425,0.0034203717950731516,0.008207546547055244,0.006957910023629665,5.578019618988037,-9.82711410522461,-0.06687470525503159,0.025654718047194235,0.02274573280937502,0.0011194022239177383,0.40892071852220296,-0.718274399373727,-0.9372950837716834
196,4,64,tanh,0.0,0.006744579877704382,0.002176814479753375,0.004552148282527924,0.0022765009198337793,4.789495944976807,-10.65003776550293,-0.0699322447180748,0.004433605614129449,0.022264279603916207,0.005360621545530459,0.3436303747714009,-0.7780394715885397,-0.9738310861509193
196,4,64,tanh,0.0,0.012511948123574257,0.001007123733870685,0.005282874684780836,0.0016706465976312757,3.81821346282959,-11.417661666870117,-0.07252383232116699,0.001477646251424825,0.026770638601414702,0.0017465293385804815,0.2731331272008046,-0.8379805360036681,-1.0135634342219568
196,4,64,tanh,0.0,0.007659238763153553,0.0008967973990365863,0.002412628149613738,0.0011333548463881016,5.599881172180176,-9.919707298278809,-0.06766684353351593,0.021836032803346887,0.013537831887891486,0.010712448908977172,0.40892071852220296,-0.718274399373727,-0.9372950837716834
196,4,64,tanh,0.0,0.02199091576039791,0.001040739007294178,0.012153087183833122,0.0021168594248592854,6.213188171386719,-7.709929943084717,-0.06162761524319649,0.05094444671296421,0.02442569104824946,0.007324349994391604,0.4676218937468533,-0.5644975237618163,-0.8565132108734933
196,4,64,tanh,0.0,0.0068658096715807915,0.0010432843118906021,0.0026374266017228365,0.0011647626524791121,5.663122653961182,-7.073090076446533,-0.05906761437654495,0.04373618564652722,0.010626078491573033,0.0008656172109357438,0.4230095868164942,-0.5106468937203311,-0.8276630406444666
196,4,64,tanh,0.0,0.004264440853148699,0.0007716326508671045,0.00499492883682251,0.0008637128048576415,4.943060398101807,-6.177610397338867,-0.05614614859223366,0.04086893974630128,0.007053488943317668,0.0037725232887476255,0.3681204345818661,-0.4443924024211769,-0.7890226867523948
196,4,64,tanh,0.0,0.024046409875154495,0.0008888158481568098,0.014750443398952484,0.0018882169388234615,3.535477876663208,-5.283535003662109,-0.053016506135463715,0.17940010874480608,0.015825813106831142,0.0011580478820337704,0.30774331892866136,-0.37151581751028695,-0.7413725409955941
196,4,64,tanh,0.0,0.1796567589044571,0.0006709959707222879,0.010142951272428036,0.014493138529360294,5.932291030883789,-8.343164443969727,-0.06234586983919144,0.005455473182063,0.016313966306545816,0.007316451096898932,0.42143594115960265,-0.605823704936449,-0.8792753528686522
196,4,64,tanh,0.0,0.007920151576399803,0.0006953245028853416,0.004292311146855354,0.0009692619787529111,4.574784755706787,-7.940760135650635,-0.06178683042526245,0.024884193079463768,0.015139931443995497,0.0047015492542469926,0.33510926330411844,-0.5759164887029025,-0.8691017506412666
196,4,64,tanh,0.0,0.04415077343583107,0.0012896342668682337,0.004127598833292723,0.003645745338872075,3.3781213760375977,-7.209475994110107,-0.060405224561691284,0.006878846264994035,0.007102155321307663,0.0012619479062835088,0.2429657077539907,-0.5186460759963778,-0.8467416877637144
196,4,64,tanh,0.0,0.08731985092163086,0.0024660276249051094,0.005984948482364416,0.0068290457129478455,2.2507166862487793,-6.150494575500488,-0.058049898594617844,0.005018867279217371,0.00042000888518936515,0.0035003404128453298,0.16157640813709123,-0.43913659983343584,-0.8098637814017097
