Re,a_amp,n_hidden_layers,neurons_per_layer,activation,E_U_relL2,E_V_relL2,E_W_relL2,u_prime_r1_eta0,v_prime_r1_eta0,w_r1_etaL,Rel_U_mean,Rel_V_mean,Rel_W_mean
196,0.0,4,64,tanh,0.01818876527249813,0.002664136001840234,0.002697625197470188,0.49911439418792725,-0.6192922592163086,-0.8858076930046082,630.612348902416,128.54005833932527,138.8103771154246
196,0.08,4,64,tanh,0.014188106171786785,0.001514072879217565,0.00641329912468791,0.5439668893814087,-0.9069964289665222,-0.910354495048523,199.26344649959756,44.220097684845605,160.0189098972643
196,0.12,4,64,tanh,0.03458518534898758,0.0037554686423391104,0.0039839791133999825,0.13627111911773682,-0.9214878082275391,-0.9340783953666687,379.7058304298409,368.37438819848614,27.923812047676787
196,0.16,4,64,tanh,0.01700088009238243,0.005641812924295664,0.004857252351939678,0.2551078796386719,-0.8499622344970703,-0.960982084274292,411.1523893646541,688.4191042910035,152.6932741007364
196,0.2,4,64,tanh,0.06329924613237381,0.0027122879400849342,0.009080410934984684,0.12099742889404297,-0.592544674873352,-0.9798188805580139,453.9339004590911,44.77257818418882,574.2064673618431
