Re,a_amp,r_train,r_eval,evaluation_type,E_u_relL2_pct,E_v_relL2_pct,E_w_relL2_pct,E_du_dz_rel_pct,E_dv_dz_rel_pct,E_w_far_rel_pct,z_wall,du_dz_PINN,du_dz_ref,dv_dz_PINN,dv_dz_ref,w_far_PINN,w_far_ref,checkpoint
196.0,0.12,0.25,0.25,training_radius,2.2936548942933124,0.28454496632340126,0.3154581681951972,1.4434550065724112,1.326362004573508,0.42456459812940234,7.347880794884118e-18,0.09536229074001312,0.09675896283333849,-0.13117052614688873,-0.12945350405550746,-0.9348594546318054,-0.9309071524211706,YHP_NEW_TRY\YHP_Re196_delta0.120_rtrain0.25_64x4\model_adam-5000.pt
196.0,0.12,0.25,0.5,radial_transfer,7.35346400282523,3.409185025626607,3.217323802311253,0.471324690960163,0.04501419359522295,0.44965739092481877,-0.12,0.19443002343177795,0.19351792566667697,-0.2587904632091522,-0.2589070081110149,-0.9350930452346802,-0.9309071524211706,YHP_NEW_TRY\YHP_Re196_delta0.120_rtrain0.25_64x4\model_adam-5000.pt
196.0,0.12,0.25,0.75,radial_transfer,11.697729414142131,2.954878162458843,2.4010526421850917,0.560394836782146,0.1397827832939111,0.423335249770964,-2.2043642384652355e-17,0.2919035851955414,0.29027688850001543,-0.3878176510334015,-0.38836051216652234,-0.9348480105400085,-0.9309071524211706,YHP_NEW_TRY\YHP_Re196_delta0.120_rtrain0.25_64x4\model_adam-5000.pt
196.0,0.12,0.25,1.0,radial_transfer,30.75339882473334,3.4644993944620217,2.52923242943359,0.7637785932751423,0.17588997316144675,0.39248628940140123,0.12,0.3840797543525696,0.38703585133335394,-0.518724799156189,-0.5178140162220298,-0.9345608353614807,-0.9309071524211706,YHP_NEW_TRY\YHP_Re196_delta0.120_rtrain0.25_64x4\model_adam-5000.pt
