Re,a_amp,r_train,r_eval,n_hidden_layers,neurons_per_layer,activation,E_U_relL2,E_V_relL2,E_W_relL2,u_prime_r_eval_eta0,v_prime_r_eval_eta0,w_r_eval_etaL,Rel_U_mean,Rel_V_mean,Rel_W_mean
196,0.12,0.25,0.25,4,64,tanh,0.02293662540614605,0.0028454414568841457,0.003154587699100375,0.09495764970779419,-0.13131648302078247,-0.9348594546318054,766.0672784118625,229.69813961574204,43.23031089410014
196,0.12,0.25,0.75,4,64,tanh,0.11697723716497421,0.029548777267336845,0.024010511115193367,0.29262155294418335,-0.38936734199523926,-0.9348480105400085,20544.9285947337,64256.54326107219,44580.91174686504
196,0.12,0.25,0.85,4,64,tanh,0.21913114190101624,0.02897336706519127,0.02160421386361122,-0.07800757884979248,-0.5804002285003662,-0.9346943497657776,32586.034351131642,67030.70604042665,42474.48880370168
196,0.12,0.25,1.0,4,64,tanh,0.30753400921821594,0.03464500606060028,0.025292325764894485,-0.308305025100708,-0.7148087024688721,-0.9345608353614807,38192.42852542575,81941.22959918635,44328.44461617766
